policy,event,op,req_bytes,utilization,cur_inuse_bytes,overhead_bytes
MIXED,102,malloc,63462,0.4336466789,29101536,28864
MIXED,103,malloc,54926,0.4847560525,32531428,32064
MIXED,104,malloc,63919,0.5363844037,35996148,35264
MIXED,105,malloc,30524,0.5876628160,39437384,38464
MIXED,106,malloc,26524,0.6387229562,42863972,41664
MIXED,107,malloc,53542,0.6891527772,46248260,44864
MIXED,108,malloc,53482,0.7386720777,49571444,48064
MIXED,109,malloc,50036,0.7885624766,52919532,51264
MIXED,110,malloc,51517,0.8333870173,55927656,54464
MIXED,111,malloc,19391,0.8828614354,59247828,57664
MIXED,112,malloc,44719,0.9342623949,62697288,60864
MIXED,113,malloc,17227,0.9798046947,65753580,64064
MIXED,114,malloc,23541,0.9990047812,67042076,65312
MIXED,115,malloc,54079,0.9990186095,67043004,65344
MIXED,116,malloc,32178,0.9990255237,67043468,65376
MIXED,117,malloc,41594,0.9990255237,67043468,65376
MIXED,118,malloc,47844,0.9990255237,67043468,65376
MIXED,119,malloc,45879,0.9990255237,67043468,65376
MIXED,120,malloc,56042,0.9990255237,67043468,65376
MIXED,121,malloc,45352,0.9990255237,67043468,65376
MIXED,122,malloc,29217,0.9990255237,67043468,65376
MIXED,123,malloc,45149,0.9990255237,67043468,65376
MIXED,124,malloc,24839,0.9990255237,67043468,65376
MIXED,125,malloc,54186,0.9990255237,67043468,65376
MIXED,126,malloc,23312,0.9990255237,67043468,65376
MIXED,127,malloc,1699,0.9990255237,67043468,65376
MIXED,128,malloc,28391,0.9990255237,67043468,65376
MIXED,129,malloc,60770,0.9990255237,67043468,65376
MIXED,130,malloc,50818,0.9990255237,67043468,65376
MIXED,131,malloc,21768,0.9990255237,67043468,65376
MIXED,132,malloc,15581,0.9990255237,67043468,65376
MIXED,133,free,0,0.9986593723,67018896,65376
MIXED,134,free,0,0.9714520574,65193044,65376
MIXED,135,free,0,0.9484339952,63648328,65376
MIXED,136,free,0,0.9241601229,62019336,65376
MIXED,137,free,0,0.8997409940,60380596,65376
MIXED,138,free,0,0.8736759424,58631400,65376
MIXED,139,free,0,0.8496609330,57019780,65376
MIXED,140,free,0,0.8262337446,55447608,65376
MIXED,141,free,0,0.8030196428,53889736,65376
MIXED,142,free,0,0.7779740691,52208956,65376
MIXED,143,free,0,0.7531866431,50545500,65376
MIXED,144,free,0,0.7267524600,48771532,65376
MIXED,145,free,0,0.7010463476,47046424,65376
MIXED,146,free,0,0.6753122807,45319440,65376
MIXED,147,free,0,0.6513174176,43709172,65376
MIXED,148,free,0,0.6278337836,42133212,65376
MIXED,149,free,0,0.6029257774,40461664,65376
MIXED,150,free,0,0.5787781477,38841144,65376
MIXED,151,free,0,0.5550862551,37251208,65376
MIXED,152,free,0,0.5299311280,35563076,65376
MIXED,153,free,0,0.5074720383,34055872,65376
MIXED,154,malloc,35333,0.4988350272,33476252,65312
MIXED,155,malloc,20605,0.5429236889,36434992,67904
MIXED,156,malloc,30330,0.5885089636,39494168,70528
MIXED,157,malloc,38676,0.6318556666,42403116,72992
MIXED,158,malloc,22553,0.6716256142,45072032,75488
MIXED,159,malloc,10124,0.7053421140,47334708,77600
MIXED,160,malloc,43709,0.7376208901,49500900,79616
MIXED,161,malloc,24081,0.7653353810,51360788,81888
MIXED,162,malloc,951,0.7897339463,52998148,83840
MIXED,163,malloc,43238,0.8132492900,54576236,85824
MIXED,164,malloc,16902,0.8311094046,55774808,87392
MIXED,165,malloc,39234,0.8522439003,57193120,89088
MIXED,166,malloc,22939,0.8676823974,58229180,90656
MIXED,167,malloc,14318,0.8835999966,59297392,92256
MIXED,168,malloc,57005,0.8955035806,60096228,93696
MIXED,169,malloc,23520,0.9056483507,60777032,94944
MIXED,170,malloc,7910,0.9163826108,61497396,96288
MIXED,171,malloc,46671,0.9261669517,62154012,97856
MIXED,172,malloc,55318,0.9353668094,62771404,99200
MIXED,173,malloc,6807,0.9442724586,63369052,100416
MIXED,174,free,0,0.4507530332,30249524,70752
MIXED,175,free,0,0.4066612720,27290576,66400
MIXED,176,free,0,0.3610721231,24231140,61760
MIXED,177,free,0,0.3177225590,21322000,57056
MIXED,178,free,0,0.2779502869,18652928,52640
MIXED,179,free,0,0.2442315817,16390104,48352
MIXED,180,free,0,0.2119495869,14223696,44512
MIXED,181,free,0,0.1842324734,12363632,40128
MIXED,182,free,0,0.1598320007,10726144,36416
MIXED,183,free,0,0.1363148093,9147932,32544
MIXED,184,free,0,0.1184536219,7949288,29376
MIXED,185,free,0,0.0973173380,6530856,25728
MIXED,186,free,0,0.0818782449,5494756,22656
MIXED,187,free,0,0.0659590364,4426436,19200
MIXED,188,free,0,0.0439091921,2946696,13856
MIXED,189,free,0,0.0331733823,2226228,11040
MIXED,190,free,0,0.0052795410,354304,1952
MIXED,191,malloc,12791,0.0001906157,12792,64
MIXED,192,malloc,56786,0.0479562879,3218292,3264
MIXED,193,malloc,6412,0.0940326452,6310424,6464
MIXED,194,malloc,37599,0.1399574876,9392388,9664
MIXED,195,malloc,62691,0.1872522831,12566288,12864
MIXED,196,malloc,46713,0.2346137166,15744660,16064
MIXED,197,malloc,43496,0.2870655060,19264640,19264
MIXED,198,malloc,37078,0.3359163404,22542964,22464
MIXED,199,malloc,17490,0.3861278296,25912600,25664
MIXED,200,malloc,63069,0.4369429350,29322744,28864
MIXED,201,malloc,15970,0.4804863334,32244892,32064
MIXED,202,malloc,54181,0.5251971483,35245384,35264
MIXED,203,malloc,39928,0.5772750378,38740272,38464
MIXED,204,malloc,43074,0.6297706962,42263196,41664
MIXED,205,malloc,62901,0.6783784628,45525208,44864
MIXED,206,malloc,32546,0.7266610265,48765396,48064
