policy,event,op,req_bytes,utilization,cur_inuse_bytes,overhead_bytes
BUDDY,97,malloc,26524,0.8526587486,57220960,41920
BUDDY,98,malloc,53542,0.9199404716,61736160,45024
BUDDY,99,malloc,53482,0.9843459129,66058336,48256
BUDDY,100,malloc,50036,0.9992551804,67058880,48992
BUDDY,101,malloc,51517,0.9992623329,67059360,49024
BUDDY,102,malloc,19391,0.9992694855,67059840,49024
BUDDY,103,malloc,44719,0.9992694855,67059840,49024
BUDDY,104,malloc,17227,0.9992694855,67059840,49024
BUDDY,105,malloc,23541,0.9992694855,67059840,49024
BUDDY,106,malloc,54079,0.9992694855,67059840,49024
BUDDY,107,malloc,32178,0.9992694855,67059840,49024
BUDDY,108,malloc,41594,0.9992694855,67059840,49024
BUDDY,109,malloc,47844,0.9992694855,67059840,49024
BUDDY,110,malloc,45879,0.9992694855,67059840,49024
BUDDY,111,malloc,56042,0.9992694855,67059840,49024
BUDDY,112,malloc,45352,0.9992694855,67059840,49024
BUDDY,113,malloc,29217,0.9992694855,67059840,49024
BUDDY,114,malloc,45149,0.9992694855,67059840,49024
BUDDY,115,malloc,24839,0.9992694855,67059840,49024
BUDDY,116,malloc,54186,0.9992694855,67059840,49024
BUDDY,117,malloc,23312,0.9992694855,67059840,49024
BUDDY,118,malloc,1699,0.9992694855,67059840,49024
BUDDY,119,malloc,28391,0.9992694855,67059840,49024
BUDDY,120,malloc,60770,0.9992694855,67059840,49024
BUDDY,121,malloc,50818,0.9992694855,67059840,49024
BUDDY,122,malloc,21768,0.9992694855,67059840,49024
BUDDY,123,malloc,15581,0.9992694855,67059840,49024
BUDDY,124,free,0,0.9987816811,67027104,49024
BUDDY,125,free,0,0.9621386528,64568032,48832
BUDDY,126,free,0,0.9307217598,62459680,48704
BUDDY,127,free,0,0.8965201378,60164448,48640
BUDDY,128,free,0,0.8649811745,58047904,48416
BUDDY,129,free,0,0.8314967155,55800800,48384
BUDDY,130,free,0,0.8000264168,53688864,48096
BUDDY,131,free,0,0.7671980858,51485792,47904
BUDDY,132,free,0,0.7376275063,49501344,47680
BUDDY,133,free,0,0.7030749321,47182560,47520
BUDDY,134,free,0,0.6709637642,45027616,47328
BUDDY,135,free,0,0.6371588707,42759008,46944
BUDDY,136,free,0,0.6026978493,40446368,46688
BUDDY,137,free,0,0.5684199333,38146016,46528
BUDDY,138,free,0,0.5369420052,36033568,46144
BUDDY,139,free,0,0.5061430931,33966688,45888
BUDDY,140,malloc,35333,0.4996109009,33528320,45824
BUDDY,141,malloc,20605,0.5632457733,37798784,45824
BUDDY,142,malloc,30330,0.6279869080,42143488,45824
BUDDY,143,malloc,38676,0.6970462799,46777984,45888
BUDDY,144,malloc,22553,0.7623062134,51157504,45984
BUDDY,145,malloc,10124,0.8318462372,55824256,46112
BUDDY,146,malloc,43709,0.9026298523,60574464,46240
BUDDY,147,malloc,24081,0.9596652985,64402048,47744
BUDDY,148,malloc,951,0.9991855621,67054208,49120
BUDDY,149,malloc,43238,0.9992675781,67059712,49152
BUDDY,150,malloc,16902,0.9992675781,67059712,49152
BUDDY,151,malloc,39234,0.9992675781,67059712,49152
BUDDY,152,malloc,22939,0.9992675781,67059712,49152
BUDDY,153,malloc,14318,0.9992675781,67059712,49152
BUDDY,154,malloc,57005,0.9992675781,67059712,49152
BUDDY,155,malloc,23520,0.9992675781,67059712,49152
BUDDY,156,malloc,7910,0.9992675781,67059712,49152
BUDDY,157,malloc,46671,0.9992675781,67059712,49152
BUDDY,158,malloc,55318,0.9992675781,67059712,49152
BUDDY,159,malloc,6807,0.9992675781,67059712,49152
BUDDY,160,free,0,0.4996566772,33531392,45696
BUDDY,161,free,0,0.4360218048,29260928,40256
BUDDY,162,free,0,0.3712806702,24916224,34400
BUDDY,163,free,0,0.3022212982,20281728,28224
BUDDY,164,free,0,0.2369613647,15902208,22272
BUDDY,165,free,0,0.1674213409,11235456,16352
BUDDY,166,free,0,0.0966377258,6485248,10528
BUDDY,167,free,0,0.0396022797,2657664,5664
BUDDY,168,free,0,0.0000820160,5504,1248
BUDDY,169,malloc,12791,0.0002436638,16352,416
BUDDY,170,malloc,56786,0.0626502037,4204384,3648
BUDDY,171,malloc,6412,0.1239123344,8315616,6592
BUDDY,172,malloc,37599,0.1872115135,12563552,9824
BUDDY,173,malloc,62691,0.2502131462,16791520,13248
BUDDY,174,malloc,46713,0.3159766197,21204832,16320
BUDDY,175,malloc,43496,0.3902087212,26186464,19424
BUDDY,176,malloc,37078,0.4556212425,30576224,22688
BUDDY,177,malloc,17490,0.5229640007,35095520,25856
BUDDY,178,malloc,63069,0.5899558067,39591264,29120
BUDDY,179,malloc,15970,0.6490359306,43556064,32352
BUDDY,180,malloc,54181,0.7098784447,47639136,35424
BUDDY,181,malloc,39928,0.7783045769,52231136,38720
BUDDY,182,malloc,43074,0.8486304283,56950624,41920
BUDDY,183,malloc,62901,0.9109072685,61129952,45056
BUDDY,184,malloc,32546,0.9752821922,65450080,48192
BUDDY,185,malloc,27824,0.9992651939,67059552,49312
BUDDY,186,malloc,10657,0.9992651939,67059552,49312
BUDDY,187,malloc,2935,0.9992651939,67059552,49312
BUDDY,188,malloc,51428,0.9992651939,67059552,49312
BUDDY,189,malloc,7254,0.9992651939,67059552,49312
BUDDY,190,malloc,42895,0.9992651939,67059552,49312
BUDDY,191,malloc,20757,0.9992651939,67059552,49312
BUDDY,192,malloc,39292,0.9992651939,67059552,49312
BUDDY,193,malloc,63127,0.9992651939,67059552,49312
BUDDY,194,malloc,45650,0.9992651939,67059552,49312
BUDDY,195,malloc,28181,0.9992651939,67059552,49312
BUDDY,196,malloc,61634,0.9992651939,67059552,49312
BUDDY,197,malloc,22563,0.9992651939,67059552,49312
BUDDY,198,malloc,27209,0.9992651939,67059552,49312
BUDDY,199,malloc,3501,0.9992651939,67059552,49312
BUDDY,200,malloc,57498,0.9992651939,67059552,49312
BUDDY,201,malloc,43606,0.9992651939,67059552,49312
BUDDY,202,malloc,48854,0.9992651939,67059552,49312
BUDDY,203,malloc,48786,0.9992651939,67059552,49312
BUDDY,204,malloc,20499,0.9992651939,67059552,49312
BUDDY,205,malloc,34549,0.9992651939,67059552,49312
BUDDY,206,malloc,2635,0.9992651939,67059552,49312
BUDDY,207,malloc,14314,0.9992651939,67059552,49312
BUDDY,208,malloc,43061,0.9992651939,67059552,49312
BUDDY,209,free,0,0.9990215302,67043200,49312
BUDDY,210,free,0,0.9670019150,64894400,49184
BUDDY,211,free,0,0.9358978271,62807040,48832
BUDDY,212,free,0,0.9023065567,60552768,48704
BUDDY,213,free,0,0.8717212677,58500224,48480
BUDDY,214,free,0,0.8400068283,56371904,48096
BUDDY,215,free,0,0.8024940491,53854464,47904
BUDDY,216,free,0,0.7723970413,51834688,47552
BUDDY,217,free,0,0.7395839691,49632640,47296
BUDDY,218,free,0,0.7023305893,47132608,47008
BUDDY,219,free,0,0.6738510132,45221376,46784
BUDDY,220,free,0,0.6377267838,42797120,46528
BUDDY,221,free,0,0.6061801910,40680064,46304
BUDDY,222,free,0,0.5699491501,38248640,46080
BUDDY,223,free,0,0.5380516052,36108032,45888
BUDDY,224,free,0,0.5050249100,33891648,45728
BUDDY,225,malloc,61758,0.4949622154,33216352,45632
BUDDY,226,malloc,54792,0.5602526665,37597920,45632
BUDDY,227,malloc,42554,0.6300978661,42285152,45632
BUDDY,228,malloc,21982,0.6957240105,46689248,45632
BUDDY,229,malloc,44164,0.7634253502,51232608,45632
BUDDY,230,malloc,779,0.8371920586,56183008,45632
BUDDY,231,malloc,28532,0.9003081322,60418656,46112
BUDDY,232,malloc,35682,0.9613413811,64514528,48000
BUDDY,233,malloc,23403,0.9992461205,67058272,49120
BUDDY,234,malloc,61422,0.9992461205,67058272,49120
BUDDY,235,malloc,14407,0.9992461205,67058272,49120
BUDDY,236,malloc,10196,0.9992609024,67059264,49120
BUDDY,237,malloc,9491,0.9992609024,67059264,49120
BUDDY,238,malloc,31842,0.9992609024,67059264,49120
BUDDY,239,malloc,59841,0.9992609024,67059264,49120
BUDDY,240,malloc,49384,0.9992680550,67059744,49120
BUDDY,241,malloc,25949,0.9992680550,67059744,49120
BUDDY,242,malloc,47685,0.9992680550,67059744,49120
BUDDY,243,malloc,61198,0.9992680550,67059744,49120
BUDDY,244,malloc,44620,0.9992680550,67059744,49120
BUDDY,245,free,0,0.5043058395,33843392,45472
BUDDY,246,free,0,0.4390153885,29461824,40064
BUDDY,247,free,0,0.3691701889,24774592,34048
BUDDY,248,free,0,0.3035440445,20370496,28224
BUDDY,249,free,0,0.2358427048,15827136,22656
BUDDY,250,free,0,0.1620759964,10876736,17120
BUDDY,251,free,0,0.0989599228,6641088,11776
BUDDY,252,free,0,0.0379266739,2545216,5600
BUDDY,253,malloc,44655,0.0009760857,65504,352
BUDDY,254,malloc,28732,0.0715842247,4803936,3584
BUDDY,255,malloc,59863,0.1380496025,9264352,6720
BUDDY,256,malloc,54718,0.2005858421,13461088,9920
BUDDY,257,malloc,38899,0.2657084465,17831392,13216
BUDDY,258,malloc,30663,0.3289847374,22077792,16320
BUDDY,259,malloc,36643,0.3966860771,26621152,19424
BUDDY,260,malloc,12367,0.4603590965,30894176,22560
BUDDY,261,malloc,50812,0.5190882683,34835424,25856
BUDDY,262,malloc,63911,0.5796408653,38899040,29056
BUDDY,263,malloc,63831,0.6464114189,43379936,32320
BUDDY,264,malloc,29916,0.7107176781,47695456,35488
BUDDY,265,malloc,19184,0.7795634270,52315616,38624
BUDDY,266,malloc,60587,0.8445105553,56674144,41920
BUDDY,267,malloc,54037,0.9108080864,61123296,45088
BUDDY,268,malloc,55589,0.9754500389,65461344,48192
BUDDY,269,malloc,8736,0.9992642403,67059488,49376
BUDDY,270,malloc,40806,0.9992642403,67059488,49376
BUDDY,271,malloc,38347,0.9992642403,67059488,49376
BUDDY,272,malloc,23636,0.9992642403,67059488,49376
BUDDY,273,malloc,36057,0.9992642403,67059488,49376
BUDDY,274,malloc,46817,0.9992642403,67059488,49376
BUDDY,275,malloc,28362,0.9992642403,67059488,49376
BUDDY,276,malloc,47206,0.9992642403,67059488,49376
